DATE,TEMP
200001,5.27
200002,20.41
200003,25.09
200004,32.26
200005,41.84
200006,54.32
200007,55.15
200008,51.25
200009,42.56
200010,29.06
200011,21.18
200012,16.77
200101,20.39
200102,18.24
200103,20.61
200104,32.99
200105,40.46
200106,55.41
200107,55.61
200108,54.79
200109,46.23
200110,27.63
200111,14.73
200112,5.26
200201,15.67
200202,14.7
200203,18.22
200204,27.23
200205,45.64
200206,52.8
200207,56.67
200208,53.18
200209,46.75
200210,37.21
200211,29.56
200212,18.56
200301,16.01
200302,24.37
200303,19.26
200304,34.57
200305,44.19
200306,53.71
200307,58.17
200308,54.14
200309,44.14
200310,37.11
200311,18.32
200312,12.8
200401,3.51
200402,20.03
200403,19.24
200404,35.4
200405,48.57
200406,58.01
200407,60.01
200408,58.88
200409,42.19
200410,34.56
200411,19.62
200412,15.38
200501,11.24
200502,14.85
200503,27.38
200504,35.01
200505,49.53
200506,55.99
200507,57.67
200508,55.84
200509,47.45
200510,33.26
200511,12.52
200512,20.39
200601,4.27
200602,17.22
200603,16.67
200604,31.42
200605,45.85
200606,53.14
200607,56.73
200608,52.55
200609,47.89
200610,36.17
200611,8.19
200612,16.1
200701,11.93
200702,12.0
200703,8.76
200704,36.36
200705,45.17
200706,54.7
200707,57.42
200708,56.16
200709,47.26
200710,31.41
200711,25.63
200712,13.93
200801,7.62
200802,10.49
200803,23.15
200804,31.34
200805,44.41
200806,51.43
200807,54.18
200808,52.08
200809,45.74
200810,26.16
200811,15.92
200812,8.06
200901,6.35
200902,11.71
200903,15.54
200904,31.89
200905,46.25
200906,53.39
200907,59.64
200908,52.93
200909,46.39
200910,35.78
200911,14.01
200912,13.75
201001,8.49
201002,18.9
201003,20.44
201004,34.68
201005,47.21
201006,53.02
201007,55.66
201008,55.2
201009,46.85
201010,33.57
201011,22.15
201012,2.96
201101,11.41
201102,11.16
201103,17.81
201104,32.25
201105,46.21
201106,53.47
201107,56.09
201108,52.72
201109,46.63
201110,33.66
201111,9.39
201112,16.54
201201,-3.99
201202,18.91
201203,15.15
201204,35.79
201205,43.13
201206,53.67
201207,55.0
201208,53.43
201209,45.71
201210,28.75
201211,10.0
201212,4.66
201301,15.31
201302,16.76
201303,18.35
201304,24.45
201305,42.04
201306,57.67
201307,58.62
201308,55.73
201309,45.03
201310,38.96
201311,17.98
201312,10.24
201401,23.25
201402,11.41
201403,21.53
201404,34.02
201405,48.19
201406,51.92
